community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_fe3_e	0.2857142857142857	0.51	1	0.1457142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_fe3pyovd_kt_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_h2o_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_indole_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Acinetobacter_brisouii_CIP_110357_	M_leu__L_e	0.2857142857142857	0.02	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_etoh_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe2_e	0.5714285714285714	0.48	1	0.2742857142857142	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe3_e	0.5714285714285714	0.51	1	0.2914285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_fe3pyovd_kt_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_h2o_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_o2_e	0.5714285714285714	1.0	1	0.5714285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Propionibacterium_acnes_KPA171202_	M_s_e	0.5714285714285714	0.03	1	0.0171428571428571	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_cgly_e	0.5714285714285714	0.45	1	0.2571428571428571	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_cu2_e	0.5714285714285714	0.71	1	0.4057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_etoh_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe2_e	0.5714285714285714	0.48	1	0.2742857142857142	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3_e	0.5714285714285714	0.51	1	0.2914285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_fe3pyovd_kt_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_glu__L_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_gua_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2o_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_h2s_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_indole_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_leu__L_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_o2_e	0.5714285714285714	1.0	1	0.5714285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_orn_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_pi_e	0.5714285714285714	1.0	1	0.5714285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_ptrc_e	0.5714285714285714	0.02	1	0.0114285714285714	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Pseudomonas_fuscovaginae_LMG_2158_	M_ura_e	0.5714285714285714	0.01	1	0.0057142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Ruminococcus_faecis_JCM_15917_	M_fe3_e	0.2857142857142857	0.51	1	0.1457142857142857	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Ruminococcus_faecis_JCM_15917_	M_fe3pyovd_kt_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Ruminococcus_faecis_JCM_15917_	M_h2o_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Ruminococcus_faecis_JCM_15917_	M_h2s_e	0.2857142857142857	0.01	1	0.0028571428571428	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Ruminococcus_faecis_JCM_15917_	M_s_e	0.2857142857142857	0.03	1	0.0085714285714285	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_cgly_e	1.0	0.45	1	0.45	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_etoh_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_fe2_e	1.0	0.48	1	0.48	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_fe3_e	1.0	0.51	1	0.51	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_fe3pyovd_kt_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_glu__L_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_gthrd_e	1.0	0.53	1	0.53	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_gua_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_h2o_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_h2s_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_indole_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_leu__L_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_orn_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_pi_e	1.0	1.0	1	1.0	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_s_e	1.0	0.03	1	0.03	1721.Soil.NIL.100.N.14.2
all	minimal	Pedobacter_nyackensis_DSM_19625_	Thalassospira_mesophila_JCM_18969_	M_ura_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_acald_e	1.0	0.02	1	0.02	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_ala__D_e	1.0	0.01	1	0.01	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_cgly_e	1.0	0.06	1	0.06	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_cu2_e	1.0	1.0	1	1.0	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_fe2_e	1.0	0.69	1	0.69	1721.Soil.NIL.100.N.14.2
all	minimal	Propionibacterium_acnes_KPA171202_	Pedobacter_nyackensis_DSM_19625_	M_fe3_e	1.0	0.3	1	0.3	1721.Soil.NIL.100.N.14.2
