community	medium	receiver	donor	compound	scs	mus	mps	smetana	sample
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_lys__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_meoh_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_orn_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_pi_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_rib__D_e	0.25	0.13	1	0.0325	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_tsul_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Pelagicola_litorisediminis_CECT_8287_	M_val__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_acald_e	0.25	0.04	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_cellb_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_cit_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_fe2_e	0.25	0.17	1	0.0425	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_fe3_e	0.25	0.82	1	0.205	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_fe3pyovd_kt_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_glyc_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_h2s_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_h_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_indole_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_inost_e	0.25	0.11	1	0.0275	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_leu__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_lys__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_meoh_e	0.25	1.0	1	0.25	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_rib__D_e	0.25	0.13	1	0.0325	1721.BMC.8.1T.30.3
all	minimal	Jannaschia_aquimarina_GSW_M26_	Roseovarius_nanhaiticus_DSM_29590_	M_val__L_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_etoh_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_fe2_e	1.0	0.96	1	0.96	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_fe3pyovd_kt_e	1.0	0.06	1	0.06	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_h2_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_h2o_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_o2_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_so3_e	1.0	0.48	1	0.48	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Halocynthiibacter_namhaensis_RA2_3_	M_val__L_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_bz_e	1.0	1.0	1	1.0	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_cys__L_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_etoh_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_fe2_e	1.0	0.96	1	0.96	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_fe3pyovd_kt_e	1.0	0.06	1	0.06	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_h2_e	1.0	0.01	1	0.01	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_h2o_e	1.0	0.02	1	0.02	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_pi_e	1.0	0.06	1	0.06	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Hellea_balneolensis_DSM_19091_	M_tsul_e	1.0	0.03	1	0.03	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_etoh_e	0.25	0.01	1	0.0025	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_fe2_e	0.25	0.96	1	0.24	1721.BMC.8.1T.30.3
all	minimal	Mariniblastus_fucicola_FC18_	Jannaschia_aquimarina_GSW_M26_	M_fe3pyovd_kt_e	0.25	0.06	1	0.015	1721.BMC.8.1T.30.3
